content;question;answer
"Center of Economic and Law Studies (Celios) mengusulkan 10pajakbaru yang diklaim bisa menghasilkan Rp388,2 triliun. Usul ini disampaikan kepada Wakil Menteri KeuanganAnggito Abimanyu.
Direktur Kebijakan Fiskal Celios Media Wahyu Askar meminta pemerintah tidak ""berburu di kebun binatang""Â atau hanya fokus menyasar wajib pajak yang sudah teridentifikasi.
""Ini sengaja kami munculkan ke publik sebagai sebuah perdebatan agar kita bisa melihat secara keseluruhan bahwa ada cara lain, alternatif strategi lain, yang sangatimpactfuldalam meningkatkan potensi perpajakan kita,"" kata Wahyu pada peluncuran riset berjudulDengan Hormat, Pejabat Negara: Jangan Menarik Pajak seperti Berburu di Kebun Binatangdi Kantor Celios, Jakarta Pusat, Selasa (12/8).
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Pajak pertama yang diusulkan CeliosÂ adalah pajak kekayaan. Media menghitung ada potensi penerimaan sekitar Rp81,6 triliun hanya dari pajak 50 orang terkaya di Indonesia.

Kedua, pajak karbon yang diklaim bisa menghasilkan Rp76,4 triliun.Â Ada pula pajak produksi batu bara dengan potensi penerimaan negara Rp66,5 triliun.
CeliosÂ juga menggagas pajakwindfall profitdari sektor ekstraktif. Ada potensi penerimaan sekitar Rp50 triliun dari kenaikan laba berturut-turut berkat lonjakan atauboomingharga komoditas di pasar internasional.
Kelima, pajak penghilangan keanekaragaman hayati senilai Rp48,6 triliun. CELIOS menyebut pajak tersebut adalah kompensasi dari kerusakan keanekaragaman hayati yang terjadi di Indonesia.
Selanjutnya, ada pajak digital yang potensinyaÂ mencapai Rp29,5 triliun. Ketujuh, peningkatan tarif pajak warisan yang berpotensi menghasilkan Rp20 triliun.
nus

Kedelapan, pajak kepemilikan rumah ketiga sebesar Rp4,7 triliun. Lalu pajakcapital gainRp7 triliun yang didapatkan negara dari keuntungan saham dan aset finansial.
Terakhir, cukai minuman berpemanis dalam kemasan (MBDK). Opsi ini diklaim bisa meraup penerimaan Rp3,9 triliun, sekaligus mendukung aspek kesehatan dengan mengurangi potensi diabetes.

Wahyu menyampaikan pajak-pajak baru ini diharapkan bisa mewujudkan keadilan dalam perpajakan. Menurutnya, masyarakat mau membayar kewajibannyaÂ andai sistem perpajakan di Indonesia sudah benar-benar adil.
""Kalau kita lihat berdasarkan persentase pendapatan, masyarakat miskin itu membayar lebih banyak secara persentase untuk pajak ketimbang orang super kaya,"" ujarnya.



Sementara itu, Staf Ahli Menteri Keuangan Bidang Kepatuhan Pajak Yon Arsal mengapresiasi kajian CELIOS. Ia mengaku juga baru mendengar beberapa potensi perpajakan tersebut, salah satunya daribiodiversityalias keanekaragaman hayati.
Yon menegaskan usul tersebut akan dikaji lebih lanjut di internal Kementerian Keuangan, termasuk bersama sejumlah pemangku kepentingan lainnya.
""Kita perlu dalami lagi beberapa usulan tadi untuk lebih meningkatkan penerimaan pajak kita di berbagai sektor, khususnya yang saya lihat adalah sektor-sektorincome tax. Memang tentu kalau ini diimplementasikan dengan baik, ya tentu mudah-mudahan bisa berjalan dengan optimal,"" ucap Yon.

[Gambas:Video CNN]
";Berapa potensi penerimaan negara dari pajak kekayaan jika diterapkan sesuai usulan Celios?;Potensi penerimaan dari pajak kekayaan mencapai sekitar Rp81,6 triliun dari 50 orang terkaya di Indonesia.
"Center of Economic and Law Studies (Celios) mengusulkan 10pajakbaru yang diklaim bisa menghasilkan Rp388,2 triliun. Usul ini disampaikan kepada Wakil Menteri KeuanganAnggito Abimanyu.
Direktur Kebijakan Fiskal Celios Media Wahyu Askar meminta pemerintah tidak ""berburu di kebun binatang""Â atau hanya fokus menyasar wajib pajak yang sudah teridentifikasi.
""Ini sengaja kami munculkan ke publik sebagai sebuah perdebatan agar kita bisa melihat secara keseluruhan bahwa ada cara lain, alternatif strategi lain, yang sangatimpactfuldalam meningkatkan potensi perpajakan kita,"" kata Wahyu pada peluncuran riset berjudulDengan Hormat, Pejabat Negara: Jangan Menarik Pajak seperti Berburu di Kebun Binatangdi Kantor Celios, Jakarta Pusat, Selasa (12/8).
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Pajak pertama yang diusulkan CeliosÂ adalah pajak kekayaan. Media menghitung ada potensi penerimaan sekitar Rp81,6 triliun hanya dari pajak 50 orang terkaya di Indonesia.

Kedua, pajak karbon yang diklaim bisa menghasilkan Rp76,4 triliun.Â Ada pula pajak produksi batu bara dengan potensi penerimaan negara Rp66,5 triliun.
CeliosÂ juga menggagas pajakwindfall profitdari sektor ekstraktif. Ada potensi penerimaan sekitar Rp50 triliun dari kenaikan laba berturut-turut berkat lonjakan atauboomingharga komoditas di pasar internasional.
Kelima, pajak penghilangan keanekaragaman hayati senilai Rp48,6 triliun. CELIOS menyebut pajak tersebut adalah kompensasi dari kerusakan keanekaragaman hayati yang terjadi di Indonesia.
Selanjutnya, ada pajak digital yang potensinyaÂ mencapai Rp29,5 triliun. Ketujuh, peningkatan tarif pajak warisan yang berpotensi menghasilkan Rp20 triliun.
nus

Kedelapan, pajak kepemilikan rumah ketiga sebesar Rp4,7 triliun. Lalu pajakcapital gainRp7 triliun yang didapatkan negara dari keuntungan saham dan aset finansial.
Terakhir, cukai minuman berpemanis dalam kemasan (MBDK). Opsi ini diklaim bisa meraup penerimaan Rp3,9 triliun, sekaligus mendukung aspek kesehatan dengan mengurangi potensi diabetes.

Wahyu menyampaikan pajak-pajak baru ini diharapkan bisa mewujudkan keadilan dalam perpajakan. Menurutnya, masyarakat mau membayar kewajibannyaÂ andai sistem perpajakan di Indonesia sudah benar-benar adil.
""Kalau kita lihat berdasarkan persentase pendapatan, masyarakat miskin itu membayar lebih banyak secara persentase untuk pajak ketimbang orang super kaya,"" ujarnya.



Sementara itu, Staf Ahli Menteri Keuangan Bidang Kepatuhan Pajak Yon Arsal mengapresiasi kajian CELIOS. Ia mengaku juga baru mendengar beberapa potensi perpajakan tersebut, salah satunya daribiodiversityalias keanekaragaman hayati.
Yon menegaskan usul tersebut akan dikaji lebih lanjut di internal Kementerian Keuangan, termasuk bersama sejumlah pemangku kepentingan lainnya.
""Kita perlu dalami lagi beberapa usulan tadi untuk lebih meningkatkan penerimaan pajak kita di berbagai sektor, khususnya yang saya lihat adalah sektor-sektorincome tax. Memang tentu kalau ini diimplementasikan dengan baik, ya tentu mudah-mudahan bisa berjalan dengan optimal,"" ucap Yon.

[Gambas:Video CNN]
";"Apa yang dimaksud dengan istilah ""berburu di kebun binatang"" yang disampaikan oleh Media Wahyu Askar?";Istilah itu merujuk pada fokus pemerintah yang hanya menyasar wajib pajak yang sudah teridentifikasi saja.
"Ajang Indonesia Public Relations Awards (IPRA) 2025 yang digelar The Iconomics kembali menjadi panggung apresiasi bagi korporasi dan lembaga pemerintah yang konsisten menjaga reputasi di mata publik.
Dalam gelaran tahun ini, PT Permodalan Nasional Madani (PNM) meraih penghargaan bergengsi Corporate Reputation Awards 2025. Penghargaan tersebut diberikan sebagai pengakuan atas citra positif perusahaan yang berhasil dipertahankan di tengah dinamika dan tantangan industri.
IPRA 2025 juga menghadirkan dua kategori lain, yaitu Popular Companies Awards 2025 dan Popular Government Institutions Awards 2025, yang seluruhnya ditujukan untuk memberi dorongan kepada institusi agar tetap waspada dan proaktif menjaga reputasi.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Founder & CEO The Iconomics, Bram S. Putro, menegaskan bahwa reputasi organisasi adalah hasil kerja panjang dan tidak dapat dibangun secara instan.
""Tantangan akan selalu ada, datang dan pergi dengan berbagai ukurannya. Namun, itulah yang akan membuat organisasi semakin tangguh,"" ujarnya dikutip Selasa (12/8).
Penilaian penghargaan dilakukan melalui riset online terhadap sekitar 1.300 responden lintas usia dan kota, menggunakan tiga parameter utama: business & commercial reputation, people & leadership reputation, dan social & citizen reputation.
Bagi PNM, apresiasi dari IPRA 2025 ini menjadi cerminan keberhasilan tim public relations dalam mengelola komunikasi, membangun kepercayaan publik, dan memperkuat citra perusahaan.
Sementara bagi The Iconomics, pencapaian para penerima penghargaan membuktikan bahwa reputasi yang kokoh adalah fondasi penting bagi keberlanjutan organisasi.";Apa penghargaan yang diraih oleh PT Permodalan Nasional Madani (PNM) pada ajang IPRA 2025?;PT Permodalan Nasional Madani (PNM) meraih penghargaan bergengsi Corporate Reputation Awards 2025.
"Ajang Indonesia Public Relations Awards (IPRA) 2025 yang digelar The Iconomics kembali menjadi panggung apresiasi bagi korporasi dan lembaga pemerintah yang konsisten menjaga reputasi di mata publik.
Dalam gelaran tahun ini, PT Permodalan Nasional Madani (PNM) meraih penghargaan bergengsi Corporate Reputation Awards 2025. Penghargaan tersebut diberikan sebagai pengakuan atas citra positif perusahaan yang berhasil dipertahankan di tengah dinamika dan tantangan industri.
IPRA 2025 juga menghadirkan dua kategori lain, yaitu Popular Companies Awards 2025 dan Popular Government Institutions Awards 2025, yang seluruhnya ditujukan untuk memberi dorongan kepada institusi agar tetap waspada dan proaktif menjaga reputasi.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Founder & CEO The Iconomics, Bram S. Putro, menegaskan bahwa reputasi organisasi adalah hasil kerja panjang dan tidak dapat dibangun secara instan.
""Tantangan akan selalu ada, datang dan pergi dengan berbagai ukurannya. Namun, itulah yang akan membuat organisasi semakin tangguh,"" ujarnya dikutip Selasa (12/8).
Penilaian penghargaan dilakukan melalui riset online terhadap sekitar 1.300 responden lintas usia dan kota, menggunakan tiga parameter utama: business & commercial reputation, people & leadership reputation, dan social & citizen reputation.
Bagi PNM, apresiasi dari IPRA 2025 ini menjadi cerminan keberhasilan tim public relations dalam mengelola komunikasi, membangun kepercayaan publik, dan memperkuat citra perusahaan.
Sementara bagi The Iconomics, pencapaian para penerima penghargaan membuktikan bahwa reputasi yang kokoh adalah fondasi penting bagi keberlanjutan organisasi.";Bagaimana cara IPRA 2025 menilai para penerima penghargaan?;Penilaian dilakukan melalui riset online terhadap 1.300 responden dengan tiga parameter reputasi utama.
"IndeksHargaSahamGabungan (IHSG) ditutup di level 7.791 pada Selasa (12/8) sore. Indeks saham menguat 185,77 poin atau naik 2,44 persen dari perdagangan sebelumnya.
Mengutip RTI Infokom, investor melakukan transaksi sebesar Rp19,48 triliun dengan jumlah saham yang diperdagangkan sebanyak 30,13 miliar saham.
Pada penutupan kali ini, 382 saham menguat, 249 terkoreksi, dan 170 stagnan.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Terpantau, delapan dari 11 indeks sektoral menguat, dipimpin oleh sektor teknologi yang naik hingga 5,27 persen. Sementara itu, tiga sektor lainnya melemah, dipimpin oleh sektor barang baku yang minus 0,51 persen.

Beralih ke bursa asing, mayoritas bursa saham di kawasan Asia terpantau bergerak di zona hijau.
Indeks Hang Seng Composite di Hong Kong menguat 0,25 persen, indeks Shanghai Composite di China naik 0,50 persen, dan indeks Nikkei 225 di Jepang plus 2,15 persen. Di sisi lain, indeks Straits Times di Singapura minus 0,16 persen.
Sementara itu, bursa saham Eropa terpantau bergerak bervariasi. Tercatat indeks FTSE 100 di Inggris menguat 0,27 persen, sedangkan indeks DAX di Jerman minus 0,04 persen.
Lalu, bursa Amerika terpantau kompak merah. Indeks S&P500 melemah 0,25 persen, indeks Dow Jones minus 0,45 persen, dan indeks NASDAQ Composite turun 0,30 persen.

Pengamat pasar modal Ibrahim Assuaibi menyebut IHSG menanjak hingga 2,47 persen hari ini didorong sentimen positif dari penundaan perang dagang AS-China selama 90 hari.
""Perang dagang ditunda 90 hari antara Amerika dengan China dampaknya cukup luar biasa. Ini membuat pasar baik di Asia, Eropa, ini terus mengalami perbaikan sehingga berdampak positif terhadap IHSG,"" ujar dia kepadaCNNIndonesia.com.
Ia menambahkan kesepakatan penurunan tarif resiprokal untuk Indonesia dari 32 persen menjadi 19 persen, serta rencana pertemuan politik antara AS, Rusia, dan Ukraina, turut memperkuat optimisme pasar.



Sementara itu, VP Equity Retail Kiwoom Sekuritas Indonesia Oktavianus Audi menilai perpanjangan gencatan tarif menjadi peluang bagi pertumbuhan ekonomi global.
""Kami berpandangan atas tindakan ini berdampak positif untuk pasar seiring dengan pertumbuhan ekonomi global dan emiten-emiten dapat kembali mendapat angin segar serta merubah peta alokasi investasi global,"" jelas Oktavianus.
Menurutnya, dengan masa perundingan hingga November 2025, potensi arus investasi ke aset berisiko bisa menopang IHSG ke level 8.000-8.100 jika disertai de-eskalasi tarif, pemangkasan suku bunga, dan realokasi investasi asing.

[Gambas:Video CNN]

";Berapa poin IHSG menguat pada Selasa (12/8) sore?;IHSG menguat 185,77 poin atau naik 2,44 persen dari perdagangan sebelumnya.
"IndeksHargaSahamGabungan (IHSG) ditutup di level 7.791 pada Selasa (12/8) sore. Indeks saham menguat 185,77 poin atau naik 2,44 persen dari perdagangan sebelumnya.
Mengutip RTI Infokom, investor melakukan transaksi sebesar Rp19,48 triliun dengan jumlah saham yang diperdagangkan sebanyak 30,13 miliar saham.
Pada penutupan kali ini, 382 saham menguat, 249 terkoreksi, dan 170 stagnan.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Terpantau, delapan dari 11 indeks sektoral menguat, dipimpin oleh sektor teknologi yang naik hingga 5,27 persen. Sementara itu, tiga sektor lainnya melemah, dipimpin oleh sektor barang baku yang minus 0,51 persen.

Beralih ke bursa asing, mayoritas bursa saham di kawasan Asia terpantau bergerak di zona hijau.
Indeks Hang Seng Composite di Hong Kong menguat 0,25 persen, indeks Shanghai Composite di China naik 0,50 persen, dan indeks Nikkei 225 di Jepang plus 2,15 persen. Di sisi lain, indeks Straits Times di Singapura minus 0,16 persen.
Sementara itu, bursa saham Eropa terpantau bergerak bervariasi. Tercatat indeks FTSE 100 di Inggris menguat 0,27 persen, sedangkan indeks DAX di Jerman minus 0,04 persen.
Lalu, bursa Amerika terpantau kompak merah. Indeks S&P500 melemah 0,25 persen, indeks Dow Jones minus 0,45 persen, dan indeks NASDAQ Composite turun 0,30 persen.

Pengamat pasar modal Ibrahim Assuaibi menyebut IHSG menanjak hingga 2,47 persen hari ini didorong sentimen positif dari penundaan perang dagang AS-China selama 90 hari.
""Perang dagang ditunda 90 hari antara Amerika dengan China dampaknya cukup luar biasa. Ini membuat pasar baik di Asia, Eropa, ini terus mengalami perbaikan sehingga berdampak positif terhadap IHSG,"" ujar dia kepadaCNNIndonesia.com.
Ia menambahkan kesepakatan penurunan tarif resiprokal untuk Indonesia dari 32 persen menjadi 19 persen, serta rencana pertemuan politik antara AS, Rusia, dan Ukraina, turut memperkuat optimisme pasar.



Sementara itu, VP Equity Retail Kiwoom Sekuritas Indonesia Oktavianus Audi menilai perpanjangan gencatan tarif menjadi peluang bagi pertumbuhan ekonomi global.
""Kami berpandangan atas tindakan ini berdampak positif untuk pasar seiring dengan pertumbuhan ekonomi global dan emiten-emiten dapat kembali mendapat angin segar serta merubah peta alokasi investasi global,"" jelas Oktavianus.
Menurutnya, dengan masa perundingan hingga November 2025, potensi arus investasi ke aset berisiko bisa menopang IHSG ke level 8.000-8.100 jika disertai de-eskalasi tarif, pemangkasan suku bunga, dan realokasi investasi asing.

[Gambas:Video CNN]

";Apa yang mendorong kenaikan IHSG menurut pengamat pasar modal Ibrahim Assuaibi?;Penundaan perang dagang AS-China selama 90 hari menjadi pendorong utama kenaikan IHSG.
"Bank Indonesiabuka suara soal kekhawatiran masyarakat bahwaPayment IDakan memata-matai transaksi keuangan masyarakat.
Melalui Kepala Departemen Kebijakan Sistem Pembayaran BIÂ DickyÂ Kartikoyono, bank sentral membantah kekhawatiran masyarakat tersebut.
Ia mengatakan dalam menerapkan sistem Payment ID ke depan, BI menjamin tidak akan masuk ke ruang private atau pribadi masyarakat dengan memantau satu per satu transaksi masyarakat.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
"" Yang kami lihat contoh, hanyaÂ Pertumbuhan ekonomi sektoral.Â Kami tak akan masuk ke ruang private satu per satu, tidak ada gunanya. Itu juga berpotensi melanggar uu (UU Perlindungan Data Pribadi). Selain itu kalau kita lakukan, BI berarti bi kurang kerjaanÂ kalau sampai tracking siapa beli sepatu, siapa nongkrong di kafe.Â Masa' kami mau begitu,"" katanya dalam pertemuan dengan editorÂ sejumlah media di Jakarta, Selasa (12/8).

DickyÂ menambahkan untuk menghindari kekhawatiran masyarakat soal Payment ID bakal memata-matai transaksi keuangan mereka, BI saat ini tengah melakukan uji coba.
Uji coba salah satunya akan dilakukan dalam penyaluran bantuan sosial nontunai yang akan dilakukan oleh pemerintah. Ia menyebut pada September mendatang, Payment ID akan diuji coba dalam penyaluran bansosÂ nontunai yang akan dilaksanakan pemerintah di Banyuwangi, Jawa Timur.
Uji coba ia harapkan bisa dimanfaatkan oleh BI dan pemangku kepentingan terkait untuk mengetahui permasalahan yang berpotensi terjadi ketika sistem itu diterapkan nantinya.
Uji coba juga ia harapkan bisa digunakan BI dan pemangku kepentingan terkait untuk melihat keselarasan penerapan Payment ID dengan UU Perlindungan Data Konsumen.
""Jadi supaya tidak ada kekhawatiran lagi. Kami pastikan tidak akan dibuka data konsumen tanpa persetujuanÂ pemilik data. Itu tolong digarisbawahi. Semua harus patuhÂ ke uu yang berlaku,"" katanya.
[Gambas:Video CNN]
BI akan meluncurkan sistem data transaksi keuangan bernama Payment ID.Â Dicky sebelumnya mengatakan uji coba awal akan dimulai pada 17 Agustus 2025 untuk satu kasus penggunaan tertentu.
""Saat ini Payment ID masih dalam tahap uji coba/eksperimentasi untuk dapat digunakan pada satuuse casetertentu saja, yaitu membantu akurasi penyaluran bantuan sosial nontunai, yang akan dimulai prosesnya di 17 Agustus,"" kata Dicky di Jakarta, Rabu (23/7), seperti dikutip dari Antara.
Direktur Departemen Kebijakan Sistem Pembayaran BI Dudi Dermawan Saputra mengatakan Payment ID adalah sistem informasi data transaksi keuangan masyarakat yang menjadi tanda pengenal unik (unique identifier) untuk mengoptimalkan data granular.
Sistem ini mengintegrasikan berbagai aktivitas keuangan masyarakat seperti pendapatan, transaksi belanja menggunakan tabungan bank, kartu kredit, dan dompet digital (e-wallet).
Sistem dapat memantau data investasi dan beban utang individu, termasuk pinjaman online (pinjol).
Sistem ini akan mencatat profil keuangan masyarakat dan terintegrasi dengan Nomor Induk Kependudukan (NIK).

""Kami (BI) akan melindungi pemilik Payment ID dan menghindari penyalahgunaan dari pihak-pihak yang tidak diinginkan,"" ujar Dudi.
Ia menjelaskan pembagian data hanya dapat dilakukan dengan persetujuan pemilik, misalnya melalui notifikasi di ponsel jika data dibagikan ke bank tempat pengajuan kredit.
Dalam BSPI 2030, Payment ID memiliki tiga fungsi utama.Pertama,sebagai kunci identifikasi untuk membentuk profil pengguna sistem pembayaran.
Kedua,sebagai kunci autentikasi dalam memproses transaksi.
Ketiga,sebagai kunci unik untuk menggabungkan data profil individu dengan data transaksi granular.
Tujuan akhirnya adalah membangun basis data sebagai barang publik yang dapat memperkuat integritas transaksi dan mendukung perumusan kebijakan nasional.

";Menurut Dicky Kartikoyono, mengapa Bank Indonesia tidak akan memantau transaksi masyarakat satu per satu?;Karena hal itu berpotensi melanggar UU Perlindungan Data Pribadi dan dianggap kurang kerjaan bagi BI.
"Bank Indonesiabuka suara soal kekhawatiran masyarakat bahwaPayment IDakan memata-matai transaksi keuangan masyarakat.
Melalui Kepala Departemen Kebijakan Sistem Pembayaran BIÂ DickyÂ Kartikoyono, bank sentral membantah kekhawatiran masyarakat tersebut.
Ia mengatakan dalam menerapkan sistem Payment ID ke depan, BI menjamin tidak akan masuk ke ruang private atau pribadi masyarakat dengan memantau satu per satu transaksi masyarakat.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
"" Yang kami lihat contoh, hanyaÂ Pertumbuhan ekonomi sektoral.Â Kami tak akan masuk ke ruang private satu per satu, tidak ada gunanya. Itu juga berpotensi melanggar uu (UU Perlindungan Data Pribadi). Selain itu kalau kita lakukan, BI berarti bi kurang kerjaanÂ kalau sampai tracking siapa beli sepatu, siapa nongkrong di kafe.Â Masa' kami mau begitu,"" katanya dalam pertemuan dengan editorÂ sejumlah media di Jakarta, Selasa (12/8).

DickyÂ menambahkan untuk menghindari kekhawatiran masyarakat soal Payment ID bakal memata-matai transaksi keuangan mereka, BI saat ini tengah melakukan uji coba.
Uji coba salah satunya akan dilakukan dalam penyaluran bantuan sosial nontunai yang akan dilakukan oleh pemerintah. Ia menyebut pada September mendatang, Payment ID akan diuji coba dalam penyaluran bansosÂ nontunai yang akan dilaksanakan pemerintah di Banyuwangi, Jawa Timur.
Uji coba ia harapkan bisa dimanfaatkan oleh BI dan pemangku kepentingan terkait untuk mengetahui permasalahan yang berpotensi terjadi ketika sistem itu diterapkan nantinya.
Uji coba juga ia harapkan bisa digunakan BI dan pemangku kepentingan terkait untuk melihat keselarasan penerapan Payment ID dengan UU Perlindungan Data Konsumen.
""Jadi supaya tidak ada kekhawatiran lagi. Kami pastikan tidak akan dibuka data konsumen tanpa persetujuanÂ pemilik data. Itu tolong digarisbawahi. Semua harus patuhÂ ke uu yang berlaku,"" katanya.
[Gambas:Video CNN]
BI akan meluncurkan sistem data transaksi keuangan bernama Payment ID.Â Dicky sebelumnya mengatakan uji coba awal akan dimulai pada 17 Agustus 2025 untuk satu kasus penggunaan tertentu.
""Saat ini Payment ID masih dalam tahap uji coba/eksperimentasi untuk dapat digunakan pada satuuse casetertentu saja, yaitu membantu akurasi penyaluran bantuan sosial nontunai, yang akan dimulai prosesnya di 17 Agustus,"" kata Dicky di Jakarta, Rabu (23/7), seperti dikutip dari Antara.
Direktur Departemen Kebijakan Sistem Pembayaran BI Dudi Dermawan Saputra mengatakan Payment ID adalah sistem informasi data transaksi keuangan masyarakat yang menjadi tanda pengenal unik (unique identifier) untuk mengoptimalkan data granular.
Sistem ini mengintegrasikan berbagai aktivitas keuangan masyarakat seperti pendapatan, transaksi belanja menggunakan tabungan bank, kartu kredit, dan dompet digital (e-wallet).
Sistem dapat memantau data investasi dan beban utang individu, termasuk pinjaman online (pinjol).
Sistem ini akan mencatat profil keuangan masyarakat dan terintegrasi dengan Nomor Induk Kependudukan (NIK).

""Kami (BI) akan melindungi pemilik Payment ID dan menghindari penyalahgunaan dari pihak-pihak yang tidak diinginkan,"" ujar Dudi.
Ia menjelaskan pembagian data hanya dapat dilakukan dengan persetujuan pemilik, misalnya melalui notifikasi di ponsel jika data dibagikan ke bank tempat pengajuan kredit.
Dalam BSPI 2030, Payment ID memiliki tiga fungsi utama.Pertama,sebagai kunci identifikasi untuk membentuk profil pengguna sistem pembayaran.
Kedua,sebagai kunci autentikasi dalam memproses transaksi.
Ketiga,sebagai kunci unik untuk menggabungkan data profil individu dengan data transaksi granular.
Tujuan akhirnya adalah membangun basis data sebagai barang publik yang dapat memperkuat integritas transaksi dan mendukung perumusan kebijakan nasional.

";Kapan uji coba Payment ID akan dilakukan dalam penyaluran bantuan sosial nontunai di Banyuwangi, Jawa Timur?;Uji coba akan dilaksanakan pada September mendatang untuk membantu penerapan sistem tersebut.
"Nilai tukarrupiahmelemah ke levelÂ Rp16.289 perdolarAmerika Serikat (AS) pada penutupan perdagangan Selasa (12/8) sore. Mata uang Garuda melemah 10 poin atau 0,16 persen dari perdagangan sebelumnya.
Sementara itu, kurs referensi Bank Indonesia (BI), Jakarta Interbank Spot Dollar Rate (Jisdor) menempatkan rupiah di posisi Rp16.298 per dolar AS.
Pergerakan mata uang di kawasan Asia bervariasi. Yen Jepang melemah 0,07 persen, baht Thailand menguat 0,10 persen, yuan China melemah 0,02 persen, peso Filipina melemah 0,06 persen, dan won Korea Selatan menguat 0,17 persen.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Dolar Singapura menguat 0,02 persen, sedangkan dolar Hong Kong terpantau stagnan pada penutupan perdagangan sore ini.

Pada saat yang sama, mata uang utama negara maju juga kompak berada di zona hijau. Tercatat euro Eropa menguat 0,05 persen, poundsterling Inggris menguat 0,16 persen, dan franc Swiss menguat 0,31 persen.
Adapun dolar Australia menguat 0,12 persen, dan dolar Kanada juga menguat 0,18 persen.
Analis Mata Uang Doo Financial Futures Lukman Leong mengatakan rupiah melemah terhadap dolar AS yang menguat. Penguatan dolar AS disokong gencatan perang dagang AS dengan China.



AS dan China bersepakat memperpanjang masa negosiasi tarif dagang 90 hari.
LukmanÂ mengatakan ada juga faktor dari dalam negeri. Ia memperkirakan rupiah besok bergerak di rentang Rp16.200-Rp16.350 per dolar AS.
""Data penjualan ritel Indonesia yang lebih rendah dari perkiraan juga ikut menahan rupiah,"" ujarnya padaCNNIndonesia.com.

[Gambas:Video CNN]
";Berapa nilai tukar rupiah terhadap dolar AS pada penutupan perdagangan Selasa sore?;Nilai tukar rupiah melemah menjadi Rp16.289 per dolar AS pada penutupan perdagangan Selasa sore.
"Nilai tukarrupiahmelemah ke levelÂ Rp16.289 perdolarAmerika Serikat (AS) pada penutupan perdagangan Selasa (12/8) sore. Mata uang Garuda melemah 10 poin atau 0,16 persen dari perdagangan sebelumnya.
Sementara itu, kurs referensi Bank Indonesia (BI), Jakarta Interbank Spot Dollar Rate (Jisdor) menempatkan rupiah di posisi Rp16.298 per dolar AS.
Pergerakan mata uang di kawasan Asia bervariasi. Yen Jepang melemah 0,07 persen, baht Thailand menguat 0,10 persen, yuan China melemah 0,02 persen, peso Filipina melemah 0,06 persen, dan won Korea Selatan menguat 0,17 persen.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Dolar Singapura menguat 0,02 persen, sedangkan dolar Hong Kong terpantau stagnan pada penutupan perdagangan sore ini.

Pada saat yang sama, mata uang utama negara maju juga kompak berada di zona hijau. Tercatat euro Eropa menguat 0,05 persen, poundsterling Inggris menguat 0,16 persen, dan franc Swiss menguat 0,31 persen.
Adapun dolar Australia menguat 0,12 persen, dan dolar Kanada juga menguat 0,18 persen.
Analis Mata Uang Doo Financial Futures Lukman Leong mengatakan rupiah melemah terhadap dolar AS yang menguat. Penguatan dolar AS disokong gencatan perang dagang AS dengan China.



AS dan China bersepakat memperpanjang masa negosiasi tarif dagang 90 hari.
LukmanÂ mengatakan ada juga faktor dari dalam negeri. Ia memperkirakan rupiah besok bergerak di rentang Rp16.200-Rp16.350 per dolar AS.
""Data penjualan ritel Indonesia yang lebih rendah dari perkiraan juga ikut menahan rupiah,"" ujarnya padaCNNIndonesia.com.

[Gambas:Video CNN]
";Menurut Lukman Leong, apa yang menjadi faktor utama penyebab rupiah melemah terhadap dolar AS?;Rupiah melemah karena dolar AS menguat, didukung gencatan perang dagang AS dengan China.
