content;question;answer
"Badan Meteorologi, Klimatologi, dan Geofisika (BMKG) memberi peringatan bagi warga di Selatan Jawa dan Bali untuk mewaspadai cuaca ekstrem yang akan sedang dan akan berlangsung hingga beberapa hari ke depan.
Mengutip dari laman BMKG, sempat terpantau adanya curah hujan yang tinggi di Selatan kedua pulau tersebut semenjak awal Agustus 2025.
Sebagai daerah ramai wisatawan, BMKG mengimbau bahwa beberapa hari ke depan bakal terjadi gelombang tinggi disertai angin kencang.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
""Untuk masyarakat yang berwisata ke Pantai selatan Jawa dan Bali perlu berhati-hati terhadap gelombang tinggi dan angin kencang yang bisa membahayakan wisatawan,"" jelas Direktur Meteorologi Publik BMKG, Andri Ramdhani dikutip dari laman resmi, Selasa (12/8).

Untuk itu aktivitas wisata laut seperti snorkeling dan surfing disarankan disetop terlebih dahulu untuk alasan keselamatan.
Selain di laut Selatan, curah hujan tinggi akan mengganggu aktivitas pariwisata di destinasi pegunungan dan air terjun. Oleh karena itu, para pengunjung diminta untuk berhati-hati terhadap kabut tebal dan ancaman tanah longsor.
Selain wisatawan, nelayan dan operator kapal-kapal yang beroperasi di laut Selatan diimbau untuk rutin memantau update peringatan cuaca dari BMKG.

Untuk jalur darat, akan ada potensi jalan licin terutama di daerah pegunungan. Kondisi tersebut dapat mengganggu kelancaran perjalanan dan berisiko memicu kecelakaan.
Sementara itu, di jalur udara Selatan Jawa dan Bali akan terjadi turbulensi dan gangguan penerbangan karena adanya awan cumulonimbus dan awan yang bersifat konvektif lainnya.
Maskapai penerbangan karena itu diminta untuk memperhatikan informasi dari platform aviasi BMKG, yakni SIGMET dan NOTAM. Hal ini penting untuk memastikan keselamatan penerbangan selama periode cuaca ekstrem berlangsung di Selatan Jawa dan Bali.";Peringatan cuaca ekstrem apa yang diberikan BMKG kepada warga di Selatan Jawa dan Bali?;BMKG memperingatkan tentang gelombang tinggi, angin kencang, curah hujan tinggi, dan potensi turbulensi.
"Badan Meteorologi, Klimatologi, dan Geofisika (BMKG) memberi peringatan bagi warga di Selatan Jawa dan Bali untuk mewaspadai cuaca ekstrem yang akan sedang dan akan berlangsung hingga beberapa hari ke depan.
Mengutip dari laman BMKG, sempat terpantau adanya curah hujan yang tinggi di Selatan kedua pulau tersebut semenjak awal Agustus 2025.
Sebagai daerah ramai wisatawan, BMKG mengimbau bahwa beberapa hari ke depan bakal terjadi gelombang tinggi disertai angin kencang.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
""Untuk masyarakat yang berwisata ke Pantai selatan Jawa dan Bali perlu berhati-hati terhadap gelombang tinggi dan angin kencang yang bisa membahayakan wisatawan,"" jelas Direktur Meteorologi Publik BMKG, Andri Ramdhani dikutip dari laman resmi, Selasa (12/8).

Untuk itu aktivitas wisata laut seperti snorkeling dan surfing disarankan disetop terlebih dahulu untuk alasan keselamatan.
Selain di laut Selatan, curah hujan tinggi akan mengganggu aktivitas pariwisata di destinasi pegunungan dan air terjun. Oleh karena itu, para pengunjung diminta untuk berhati-hati terhadap kabut tebal dan ancaman tanah longsor.
Selain wisatawan, nelayan dan operator kapal-kapal yang beroperasi di laut Selatan diimbau untuk rutin memantau update peringatan cuaca dari BMKG.

Untuk jalur darat, akan ada potensi jalan licin terutama di daerah pegunungan. Kondisi tersebut dapat mengganggu kelancaran perjalanan dan berisiko memicu kecelakaan.
Sementara itu, di jalur udara Selatan Jawa dan Bali akan terjadi turbulensi dan gangguan penerbangan karena adanya awan cumulonimbus dan awan yang bersifat konvektif lainnya.
Maskapai penerbangan karena itu diminta untuk memperhatikan informasi dari platform aviasi BMKG, yakni SIGMET dan NOTAM. Hal ini penting untuk memastikan keselamatan penerbangan selama periode cuaca ekstrem berlangsung di Selatan Jawa dan Bali.";Aktivitas apa yang disarankan untuk dihentikan sementara oleh BMKG untuk alasan keselamatan?;BMKG menyarankan untuk menghentikan sementara aktivitas wisata laut seperti snorkeling dan surfing.
"FiturInstagramMaps yang baru-baru ini dirilis Meta jadi perbincangan warganet karena dinilai dapat mengganggu privasi dan keamanan.
Fitur ini pada dasarnya membuat pengguna dapat berbagi lokasi secara real-time dengan teman. Letak fiturnya ada di bagian Pesan (Direct Message/DM).
Karena sifatnya yang opt-in, maka fitur ini sebenarnya dapat dinonaktifkan secara default. Jika ingin memastikan fitur ini tidak aktif, berikut langkah-langkahnya:
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
1. Pada aplikasi Instagram, masuk ke tab Pesan.2. Klik ikon Map di bagian atas kotak masuk.3. Pilih ikon Pengaturan (yang bentuknya roda gigi) di pojok kanan atas.4. Pilih opsi ""Tidak ada"" untuk berbagi lokasi.5. Klik tombol ""Perbarui"".

Setelah melakukan langkah-langkah tersebut, Instagram Maps akan nonaktif dan lokasi Anda tidak akan muncul di peta.
Di platform X (sebelumnya Twitter), peringatan demi peringatan ramai dibagikan, warganet kompak kalau fitur ini punya potensi berbahaya bagi privasi pengguna.
""Aduh! Instagram merilis fitur 'Instagram Map' yang akan menunjukkan lokasi persis Anda kepada orang yang mengikuti Anda. Tolong demi keamanan, matikan berbagi lokasi di pengaturan,"" tulis akun @AllAgesofGeek.
Pengguna lain dengan nama akun @1auren1o juga mengimbau hal serupa.
""Teman-teman, tolong matikan lokasi kalian di Instagram. Mereka baru saja menambahkan fitur peta dan semua yang mengikuti kalian bisa memperbesar dan melihat persis di mana kalian berada, termasuk orang yang tidak kalian ikuti balik. Ini gila,"" tulisnya.

Pakar keamanan siber menilai kekhawatiran ini wajar. Fitur berbagi lokasi memang mempermudah interaksi dan eksplorasi, tetapi jika tidak digunakan secara bijak, dapat menimbulkan risiko besar, seperti:
Jika ditilik, kekhawatiran semacam ini lazim terjadi.
Memang intensi dari Meta adalah mempermudah interaksi antar pengguna. Tapi dengan catatan, penggunaan fiturnya dilakukan dengan bijak.
Permasalahannya, potensi penyalahgunaan pasti muncul dan takutnya bakal bermuara ke tindak kriminal.
Walaupun Meta sudah klarifikasi kalau fitur ini aman, banyak pihak yang menilai ini sudah melebihi batas dan penting untuk tidak informasi pribadi seperti lokasi secara daring.
Perlu diingat kalau tidak semua daerah itu aman. Beberapa daerah masih rawan kriminalitas dan fitur seperti ini bisa jadi metode kejahatan baru sehingga sebagai langkah preventif, mematikan Instagram Maps jadi keharusan.
";Fitur Instagram Maps baru-baru ini menjadi perbincangan karena alasan apa?;Fitur tersebut dinilai dapat mengganggu privasi dan keamanan pengguna karena berbagi lokasi secara real-time.
"FiturInstagramMaps yang baru-baru ini dirilis Meta jadi perbincangan warganet karena dinilai dapat mengganggu privasi dan keamanan.
Fitur ini pada dasarnya membuat pengguna dapat berbagi lokasi secara real-time dengan teman. Letak fiturnya ada di bagian Pesan (Direct Message/DM).
Karena sifatnya yang opt-in, maka fitur ini sebenarnya dapat dinonaktifkan secara default. Jika ingin memastikan fitur ini tidak aktif, berikut langkah-langkahnya:
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
1. Pada aplikasi Instagram, masuk ke tab Pesan.2. Klik ikon Map di bagian atas kotak masuk.3. Pilih ikon Pengaturan (yang bentuknya roda gigi) di pojok kanan atas.4. Pilih opsi ""Tidak ada"" untuk berbagi lokasi.5. Klik tombol ""Perbarui"".

Setelah melakukan langkah-langkah tersebut, Instagram Maps akan nonaktif dan lokasi Anda tidak akan muncul di peta.
Di platform X (sebelumnya Twitter), peringatan demi peringatan ramai dibagikan, warganet kompak kalau fitur ini punya potensi berbahaya bagi privasi pengguna.
""Aduh! Instagram merilis fitur 'Instagram Map' yang akan menunjukkan lokasi persis Anda kepada orang yang mengikuti Anda. Tolong demi keamanan, matikan berbagi lokasi di pengaturan,"" tulis akun @AllAgesofGeek.
Pengguna lain dengan nama akun @1auren1o juga mengimbau hal serupa.
""Teman-teman, tolong matikan lokasi kalian di Instagram. Mereka baru saja menambahkan fitur peta dan semua yang mengikuti kalian bisa memperbesar dan melihat persis di mana kalian berada, termasuk orang yang tidak kalian ikuti balik. Ini gila,"" tulisnya.

Pakar keamanan siber menilai kekhawatiran ini wajar. Fitur berbagi lokasi memang mempermudah interaksi dan eksplorasi, tetapi jika tidak digunakan secara bijak, dapat menimbulkan risiko besar, seperti:
Jika ditilik, kekhawatiran semacam ini lazim terjadi.
Memang intensi dari Meta adalah mempermudah interaksi antar pengguna. Tapi dengan catatan, penggunaan fiturnya dilakukan dengan bijak.
Permasalahannya, potensi penyalahgunaan pasti muncul dan takutnya bakal bermuara ke tindak kriminal.
Walaupun Meta sudah klarifikasi kalau fitur ini aman, banyak pihak yang menilai ini sudah melebihi batas dan penting untuk tidak informasi pribadi seperti lokasi secara daring.
Perlu diingat kalau tidak semua daerah itu aman. Beberapa daerah masih rawan kriminalitas dan fitur seperti ini bisa jadi metode kejahatan baru sehingga sebagai langkah preventif, mematikan Instagram Maps jadi keharusan.
";Apa langkah pertama untuk menonaktifkan fitur Instagram Maps?;Masuk ke tab Pesan (Direct Message/DM) pada aplikasi Instagram adalah langkah pertamanya.
"Ratusan orang dievakuasi akibat kebakaran hutan yang melanda dekat provinsi Canakkale, Turki, pada Senin (11/8).
Sebanyak 187 orang diselamatkan melalui laut, sementara 161 lainnya dievakuasi lewat darat.
Puluhan rumah dan mobil dilaporkan terbakar.
Sekitar 50 orang harus mendapat perawatan medis akibat terdampak kebakaran.
Upaya pemadaman melibatkan sekitar 700 personel, didukung pesawat, helikopter, dan truk pemadam.
Suhu di wilayah tersebut mencapai 33 derajat Celsius dengan kecepatan angin hingga 66 km/jam.";Berapa total orang yang dievakuasi akibat kebakaran hutan di Turki?;Sebanyak 348 orang dievakuasi, 187 melalui laut dan 161 melalui darat.
"Ratusan orang dievakuasi akibat kebakaran hutan yang melanda dekat provinsi Canakkale, Turki, pada Senin (11/8).
Sebanyak 187 orang diselamatkan melalui laut, sementara 161 lainnya dievakuasi lewat darat.
Puluhan rumah dan mobil dilaporkan terbakar.
Sekitar 50 orang harus mendapat perawatan medis akibat terdampak kebakaran.
Upaya pemadaman melibatkan sekitar 700 personel, didukung pesawat, helikopter, dan truk pemadam.
Suhu di wilayah tersebut mencapai 33 derajat Celsius dengan kecepatan angin hingga 66 km/jam.";Berapa banyak personel yang terlibat dalam upaya pemadaman kebakaran?;Sekitar 700 personel terlibat, dibantu pesawat, helikopter, dan truk pemadam.
"Fenomena langit tahunan,hujan meteor Perseid, bakal mencapai puncaknya tahun ini pada Selasa (12/8) hingga Rabu (13/8). Simak cara lihatnya.
Hujan meteor Perseid terjadi saat Bumi melewati puing-puing dari Komet Swift-Tuttle yang terakhir kali melintas dekat Bumi pada 1992. Hujan meteor ini memiliki intensitas mencapai 150-200 meteor per jam.

ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Saking banyaknya, Perseid jadi satu-satunya hujan meteor yang pernah menyebabkan penundaan peluncuran pesawat ulang-alik.
Pada 1993, peluncuran NASA STS-51 ditunda karena kekhawatiran aktivitas hujan meteor Perseid yang meningkatkan kemungkinan pesawat ruang angkasa di orbit Bumi rusak.
NASA, lembaga antariksa Amerika Serikat, menyebut bahwa Perseid adalah hujan meteor terbaik sepanjang tahun.
""Dengan meteor yang cepat dan terang, Perseid sering meninggalkan jejak cahaya dan warna yang panjang di belakangnya saat melintasi atmosfer Bumi. Perseids merupakan salah satu hujan meteor paling melimpah dengan sekitar 50 hingga 100 meteor yang terlihat per jam,"" demikian keterangan NASA dalam laman resminya, dikutip Senin (11/8).

Peneliti Ahli Utama Badan Riset dan Inovasi Nasional (BRIN) Thomas Djamaluddin mengatakan pertunjukan hujan meteor ini bisa dilihat di Indonesia pada Selasa malam (12/8) hingga Rabu dini hari (13/8) menjelang fajar.
Untuk melihat pertunjukkan hujan meteor Perseid, pengamat di Bumi tinggal melihat ke arah langit timur laut. Hujan meteor itu akan bisa terlihat, jika kondisi langit cerah, tidak ada penghalang seperti pohon dan bangunan, serta minim cahaya.
Kendati begitu, menurut dia jumlah meteor yang akan terlihat kali ini kemungkinan tidak akan sebanyak biasanya.
""Karena ada cahaya Bulan pasca-purnama, kemungkinan meteor yang terlihat hanya sekitar 10-20 meteor per jam,"" jelas Thomas.
";Kapan puncak hujan meteor Perseid akan terjadi pada tahun ini?;Puncak hujan meteor Perseid akan terjadi pada Selasa (12/8) hingga Rabu (13/8).
"Fenomena langit tahunan,hujan meteor Perseid, bakal mencapai puncaknya tahun ini pada Selasa (12/8) hingga Rabu (13/8). Simak cara lihatnya.
Hujan meteor Perseid terjadi saat Bumi melewati puing-puing dari Komet Swift-Tuttle yang terakhir kali melintas dekat Bumi pada 1992. Hujan meteor ini memiliki intensitas mencapai 150-200 meteor per jam.

ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Saking banyaknya, Perseid jadi satu-satunya hujan meteor yang pernah menyebabkan penundaan peluncuran pesawat ulang-alik.
Pada 1993, peluncuran NASA STS-51 ditunda karena kekhawatiran aktivitas hujan meteor Perseid yang meningkatkan kemungkinan pesawat ruang angkasa di orbit Bumi rusak.
NASA, lembaga antariksa Amerika Serikat, menyebut bahwa Perseid adalah hujan meteor terbaik sepanjang tahun.
""Dengan meteor yang cepat dan terang, Perseid sering meninggalkan jejak cahaya dan warna yang panjang di belakangnya saat melintasi atmosfer Bumi. Perseids merupakan salah satu hujan meteor paling melimpah dengan sekitar 50 hingga 100 meteor yang terlihat per jam,"" demikian keterangan NASA dalam laman resminya, dikutip Senin (11/8).

Peneliti Ahli Utama Badan Riset dan Inovasi Nasional (BRIN) Thomas Djamaluddin mengatakan pertunjukan hujan meteor ini bisa dilihat di Indonesia pada Selasa malam (12/8) hingga Rabu dini hari (13/8) menjelang fajar.
Untuk melihat pertunjukkan hujan meteor Perseid, pengamat di Bumi tinggal melihat ke arah langit timur laut. Hujan meteor itu akan bisa terlihat, jika kondisi langit cerah, tidak ada penghalang seperti pohon dan bangunan, serta minim cahaya.
Kendati begitu, menurut dia jumlah meteor yang akan terlihat kali ini kemungkinan tidak akan sebanyak biasanya.
""Karena ada cahaya Bulan pasca-purnama, kemungkinan meteor yang terlihat hanya sekitar 10-20 meteor per jam,"" jelas Thomas.
";Mengapa peluncuran NASA STS-51 pernah ditunda?;Peluncuran ditunda karena kekhawatiran aktivitas hujan meteor Perseid yang dapat merusak pesawat ruang angkasa.
"Perusahaan keamanan siber Kaspersky memberi peringatan soal ancamanDark AIatau kecerdasan buatan yang bertujuan untuk merancang kejahatan digital.
Kecerdasan buatan saat ini makin marak dimanfaatkan oleh peretas untuk melakukan serangan siber. Bentuknya beragam, mulai dari penipuan secara online bahkan hingga spionase yang melibatkan informasi-informasi rahasia suatu negara.
Kepala Tim Riset Analisis Global Kaspersky untuk META dan APAC, Sergey Lozhkin, menjelaskan kalau Dark AI menggunakan model bahasa besar (large language model/LLM) yang dioperasikan tanpa pengawasan khusus dan tanpa perangkat aturan tertentu.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Sebagai akibatnya, Dark AI memungkinkan untuk disalahgunakan untuk tujuan tidak etis dan merugikan seperti pembuatan malware, wording-an email phishing yang bahasanya sangat meyakinkan, sampai deepfake atau manipulasi video dan suara palsu untuk kejahatan penipuan.

Kondisi ini disebut Lozhkin sebagai keadaan yang mana AI di satu sisi membantu berbagai aspek manajemen keamanan di dunia digital tetapi di sisi lain juga jadi antitesis untuk menyerangnya.
""Kita memasuki era di mana AI bisa jadi perisai, tapi Dark AI adalah pedangnya,"" ujar Lozhkin dalam keterangan resmi dikutip, Selasa (11/8).
Contoh Dark AI yang saat ini sedang populer adalah Black Hat GPT yang telah dimodifikasi sedemikian rupa untuk kejahatan digital. Selain itu, Dark AI lain muncul sejak tahun 2023 yang meliputi WormGPT, DarkBard, FraudGPT, dan Xanthorox.
Beberapa contoh tadi amat luwes untuk melancarkan kejahatan digital seperti penipuan, peretasan, dan operasi siber otomatis lainnya.
Menurut Kaspersky, kelompok yang memanfaatkan Dark AI bukan individu-individu melainkan kelompok kriminal. Bukan hanya kelompok biasa, ada kecenderungan pemanfaatan Dark AI digunakan untuk operasi siber yang rumit.
Apa yang Kaspersky temukan ternyata senada dengan laporan dari OpenAI yang mengklaim telah memblokir lebih dari 20 aktivitas tidak biasa yang terindikasi memanfaatkan platform mereka untuk tujuan kejahatan siber.

Dalam menjalankan modus operandinya, kelompok kriminal ini pun membungkus identitas palsu mereka dengan cukup rapi. Mereka bahkan dapat berkontak secara real-time dengan korban dan merancang konten-konten mereka dalam berbagai bahasa untuk bisa menembus filter keamanan konvensional.
Hal yang menjadi kunci masalah menurut Lozhkin adalah bahwa AI ini tidak memiliki set moral dan etika untuk membedakan baik buruk intensi dari prompt yang diberikan. Kecerdasan buatan hanya punya orientasi utama untuk mematuhi perintah.
""AI tidak secara inheren dapat membedakan yang benar dan yang salah, melainkan alat yang mengikuti perintah. Bahkan ketika perlindungan telah diterapkan, kita tahu APT adalah penyerang yang gigih,"" kata Lozhkin.
""Seiring dengan semakin mudah diakses dan mumpuninya perangkat dark AI, penting bagi organisasi dan individu di Asia Pasifik untuk memperkuat higiene keamanan siber, berinvestasi dalam deteksi ancaman yang didukung oleh AI itu sendiri, dan terus mempelajari bagaimana teknologi ini dapat dieksploitasi,"" pungkasnya.
";Apa yang dimaksud dengan Dark AI menurut Kaspersky?;Dark AI adalah kecerdasan buatan yang digunakan untuk merancang dan melakukan kejahatan digital tanpa pengawasan khusus.
"Perusahaan keamanan siber Kaspersky memberi peringatan soal ancamanDark AIatau kecerdasan buatan yang bertujuan untuk merancang kejahatan digital.
Kecerdasan buatan saat ini makin marak dimanfaatkan oleh peretas untuk melakukan serangan siber. Bentuknya beragam, mulai dari penipuan secara online bahkan hingga spionase yang melibatkan informasi-informasi rahasia suatu negara.
Kepala Tim Riset Analisis Global Kaspersky untuk META dan APAC, Sergey Lozhkin, menjelaskan kalau Dark AI menggunakan model bahasa besar (large language model/LLM) yang dioperasikan tanpa pengawasan khusus dan tanpa perangkat aturan tertentu.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Sebagai akibatnya, Dark AI memungkinkan untuk disalahgunakan untuk tujuan tidak etis dan merugikan seperti pembuatan malware, wording-an email phishing yang bahasanya sangat meyakinkan, sampai deepfake atau manipulasi video dan suara palsu untuk kejahatan penipuan.

Kondisi ini disebut Lozhkin sebagai keadaan yang mana AI di satu sisi membantu berbagai aspek manajemen keamanan di dunia digital tetapi di sisi lain juga jadi antitesis untuk menyerangnya.
""Kita memasuki era di mana AI bisa jadi perisai, tapi Dark AI adalah pedangnya,"" ujar Lozhkin dalam keterangan resmi dikutip, Selasa (11/8).
Contoh Dark AI yang saat ini sedang populer adalah Black Hat GPT yang telah dimodifikasi sedemikian rupa untuk kejahatan digital. Selain itu, Dark AI lain muncul sejak tahun 2023 yang meliputi WormGPT, DarkBard, FraudGPT, dan Xanthorox.
Beberapa contoh tadi amat luwes untuk melancarkan kejahatan digital seperti penipuan, peretasan, dan operasi siber otomatis lainnya.
Menurut Kaspersky, kelompok yang memanfaatkan Dark AI bukan individu-individu melainkan kelompok kriminal. Bukan hanya kelompok biasa, ada kecenderungan pemanfaatan Dark AI digunakan untuk operasi siber yang rumit.
Apa yang Kaspersky temukan ternyata senada dengan laporan dari OpenAI yang mengklaim telah memblokir lebih dari 20 aktivitas tidak biasa yang terindikasi memanfaatkan platform mereka untuk tujuan kejahatan siber.

Dalam menjalankan modus operandinya, kelompok kriminal ini pun membungkus identitas palsu mereka dengan cukup rapi. Mereka bahkan dapat berkontak secara real-time dengan korban dan merancang konten-konten mereka dalam berbagai bahasa untuk bisa menembus filter keamanan konvensional.
Hal yang menjadi kunci masalah menurut Lozhkin adalah bahwa AI ini tidak memiliki set moral dan etika untuk membedakan baik buruk intensi dari prompt yang diberikan. Kecerdasan buatan hanya punya orientasi utama untuk mematuhi perintah.
""AI tidak secara inheren dapat membedakan yang benar dan yang salah, melainkan alat yang mengikuti perintah. Bahkan ketika perlindungan telah diterapkan, kita tahu APT adalah penyerang yang gigih,"" kata Lozhkin.
""Seiring dengan semakin mudah diakses dan mumpuninya perangkat dark AI, penting bagi organisasi dan individu di Asia Pasifik untuk memperkuat higiene keamanan siber, berinvestasi dalam deteksi ancaman yang didukung oleh AI itu sendiri, dan terus mempelajari bagaimana teknologi ini dapat dieksploitasi,"" pungkasnya.
";Apa saja contoh Dark AI yang disebutkan dalam berita tersebut?;Contoh Dark AI yang populer adalah Black Hat GPT, WormGPT, DarkBard, FraudGPT, dan Xanthorox.
