title;url;content
Kereta Khusus Petani-Pedagang Segera Meluncur, Ini Waktu Keberangkatannya;https://www.liputan6.com/bisnis/read/6141490/kereta-khusus-petani-pedagang-segera-meluncur-ini-waktu-keberangkatannya;"Liputan6.com, Jakarta - Wakil Menteri Badan Usaha Milik Negara (BUMN) Kartika Wirjoatmodjo mengungkap rencana peluncuran kereta khusus petani dan pedagang. Rencananya operasional berjalan pagi-pagi sekali. Dia menuturkan, layanan ini dluncurkan imbas layanan kereta lokal yang dikelola PT Kereta Commuter Indonesia (KAI Commuter) cukup padat oleh penumpang reguler. Baca Juga ""Ya nanti, KCI memang rencana itu, schedule KCI penuh ya dan memang untuk itu pagi-pagi ada batch yang pagi sekali sebelum subuh, itu yang untuk mengangkut hasil pertanian-perdagangan,"" kata Tiko, sapaan akrabnya, ditemui di Antara Heritage Center, Jakarta, Senin (25/8/2025). Advertisement Kendati begitu, dia tidak merinci lebih lanjut mengenai hal tersebut. Hanya saja, Tiko memastikan PT Kereta Api Indonesia (Persero) akan segera meluncurkan layanan kereta khusus petani dan pedagang. ""Itu lagi kita.Segera kita launching untuk itu supaya menampung masyarakat yang membawa hasil dagangan dari daerah,"" tegasnya. Kereta ini jadi pengembangan yang dilakukan KAI. Saat ini kereta khusus petani dan pedagang masih melalui tahapan uji coba internal sejak 15 Agustus 2025 lalu. Adapun, proses modifikasi kereta dilakukan di UPT Balai Yasa Surabaya Gubeng. "
Warga Jakarta Dapat Keringanan Bayar PBB, Simak Ketentuannya;https://www.liputan6.com/bisnis/read/6141321/warga-jakarta-dapat-keringanan-bayar-pbb-simak-ketentuannya;Liputan6.com, Jakarta - Pemerintah Provinsi (Pemprov) DKI Jakarta kembali memberikan insentif bagi masyarakat yang taat membayar Pajak Bumi dan Bangunan Perdesaan dan Perkotaan (PBB-P2). Warga yang melunasi kewajiban pajaknya pada periode 1 Agustus hingga 30 September 2025 akan mendapatkan potongan sebesar 5% dari pokok pajak. “Kami mengimbau masyarakat memanfaatkan insentif ini. Selain hemat, warga juga terhindar dari denda keterlambatan,” ujar Kepala Badan Pendapatan Daerah (Bapenda) DKI Jakarta, Lusiana Herawati dalam keterangannya, Senin (25/8/2025). Baca Juga Kini, pembayaran PBB-P2 semakin mudah dilakukan melalui berbagai kanal. Warga bisa membayar lewat bank dan layanan keuangan seperti teller, ATM, EDC, PPOB, e-banking, maupun m-banking. Selain itu, tersedia juga berbagai platform digital seperti Tokopedia, Shopee, Traveloka, Bukalapak, Blibli, OVO, LinkAja, DANA, Sepulsa, dan Gotagihan. Advertisement Wajib Pajak hanya perlu memasukkan Nomor Objek Pajak (NOP), dan tagihan akan muncul secara otomatis untuk kemudian bisa langsung dibayarkan. Informasi lengkap dapat diakses melalui situs resmi Pajak Online Jakarta. 
Ribuan Rumah FLPP Mulai Diserahkan ke Masyarakat;https://www.liputan6.com/bisnis/read/6141428/ribuan-rumah-flpp-mulai-diserahkan-ke-masyarakat;Liputan6.com, Jakarta Bank bjb bersama bjb syariah menegaskan kembali komitmennya dalam mendukung kepemilikan rumah layak bagi masyarakat dengan menggelar acara Akad Massal dan Serah Terima Kunci bagi 1.080 debitur KPR Sejahtera FLPP. Ini merupakan bentuk nyata kontribusi perbankan dalam memperkuat program pemerintah 3 Juta Rumah yang bertujuan memperluas akses hunian terjangkau di seluruh Indonesia. Baca Juga Momentum ini menjadi simbol kuat sinergi antara pemerintah, lembaga keuangan, dan sektor swasta dalam mewujudkan impian banyak keluarga untuk memiliki tempat tinggal yang aman dan nyaman. Rumah bukan sekadar bangunan, tetapi hak dasar setiap warga negara yang harus bisa diakses oleh seluruh lapisan masyarakat. Advertisement Acara berlangsung dengan penuh semangat kebersamaan, turut dihadiri oleh Menteri Perumahan dan Kawasan Permukiman Maruarar Sirait, Sekretaris Daerah Jawa Barat Herman Suryatman, serta perwakilan Otoritas Jasa Keuangan Regional 2, BP Tapera, dan para kepala daerah dari Sumedang, Majalengka, hingga Subang. Direktur Utama bank bjb terpilih, Yusuf Saadudin, menegaskan bahwa sektor perumahan merupakan salah satu penggerak utama pertumbuhan ekonomi nasional. Ia menyampaikan bahwa melalui KPR Sejahtera FLPP, bank bjb ingin memberi kesempatan masyarakat berpenghasilan rendah untuk memiliki rumah yang layak sekaligus menjadi pondasi pembangunan keluarga di masa depan. Bank bjb dan bjb syariah tidak hanya hadir sebagai penyedia pembiayaan, melainkan juga sebagai mitra strategis pemerintah dalam memperkuat pondasi sosial dan ekonomi masyarakat. “Penyerahan kunci rumah ini bukan sekadar seremoni, tetapi simbol harapan dan komitmen bersama untuk menghadirkan hunian yang terjangkau bagi masyarakat Indonesia,” ucap Yusuf Saadudin . 
Harga Emas Antam Merosot, Dipatok Segini Hari Ini Senin 25 Agustus 2025;https://www.liputan6.com/bisnis/read/6141228/harga-emas-antam-merosot-dipatok-segini-hari-ini-senin-25-agustus-2025;Liputan6.com, Jakarta Harga emas batangan PT Aneka Tambang Tbk (Antam) turun pada hari ini Senin 25 Agustus 2025. Berdasarkan data dari laman resmi Logam Mulia, Senin (25/8/2025), harga emas Antam hari ini lebih mahal Rp 4.000 menjadi Rp 1.929.000 per gram dari sebelumnya Rp 1.933.000 ger gram. Baca Juga Pada perdagangan Jumat, harga emas Antam naik Rp 2.000. Sementara harga emas untuk jual kembali (buyback) juga turun Rp 4.000 menjadi Rp 1.775.000 per gram. Harga buyback ini adalah jika Anda ingin menjual emas maka Antam akan membelinya di harga Rp 1.775.000 per gram. Advertisement Sesuai Peraturan Menteri Keuangan (PMK) Nomor 34/PMK.10/2017, transaksi buyback akan dikenakan potongan pajak. Untuk penjualan kembali emas batangan dengan nominal di atas Rp 10 juta, berlaku Pajak Penghasilan (PPh) Pasal 22 sebesar: 1,5% bagi pemegang Nomor Pokok Wajib Pajak (NPWP)3% bagi non-NPWPPPh 22 atas transaksi buyback akan dipotong langsung dari total nilai penjualan. Cek daftar harga emas Antam hari ini Senin (25/8/2025):
Berapa Harga Emas Pegadaian Hari Ini Senin 25 Agustus 2025, Ini Daftar Terbarunya;https://www.liputan6.com/bisnis/read/6141167/berapa-harga-emas-pegadaian-hari-ini-senin-25-agustus-2025-ini-daftar-terbarunya;Liputan6.com, Jakarta Harga emas Pegadaian hari ini, Senin 25 Agustus 2025 untuk tiga produk logam mulia yang ditawarkan yakni harga emas UBS, harga emas Galeri24, dan harga emas Antam terpantau stabil. Harga emas Galeri24 stabil di angka Rp1.918.000 per gram. Begitu pula harga emas Antam yang turut stabil di Rp2.001.000 per gram. Baca Juga Sementara, Sedangkan harga emas UBS tetap dibanderol dengan harga Rp1.935.000 per gram. Advertisement ‎‎Emas Galeri24 dijual dengan kuantitas 0,5 gram hingga 1.000 gram atau 1 kilogram. Sementara emas UBS dijual dengan kuantitas 0,5 gram hingga 500 gram. Berikut daftar lengkap harga emas Pegadaian hari ini: 
Harga Emas Berpeluang Tembus USD 4.600, Ini Faktornya;https://www.liputan6.com/bisnis/read/6141039/harga-emas-berpeluang-tembus-usd-4600-ini-faktornya;"Liputan6.com, Jakarta - Ketua the Federal Reserve (the Fed) atau bank sentral Amerika Serikat (AS) Jerome Powell membuka peluang pemangkasan suku bunga bulan depan, tetapi posisi itu bisa menjadi rumit jika tekanan inflasi terus meningkat. Harga emas meski tetap mendapat dukungan kuat, para analis mencatat setiap komplikasi dalam kebijakan moneter The Fed dapat membatasi potensi kenaikan logam mulia tersebut. Harga emasmenutup pekan di pertengahan kisaran jangka pendeknya; harga spot emas ditutup Jumat di level USD 3.371,23 per ons, naik 1% dibandingkan pekan lalu. Baca Juga Dikutip dari Kitco.com, Senin (25/8/2025) sebagian besar kenaikan emas terjadi pada Jumat, setelah pidato Powell yang sangat ditunggu dalam simposium tahunan bank sentral Federal Reserve. Advertisement Powell menyoroti meningkatnya risiko ekonomi dari inflasi yang naik dan perlambatan aktivitas, tetapi tetap mencatat masih ada ruang untuk memangkas suku bunga. ""Dengan kebijakan yang berada di wilayah restriktif, prospek dasar dan pergeseran keseimbangan risiko dapat membenarkan penyesuaian sikap kebijakan kami,"" kata dia. Ekonom menilai komentar Powell jelas mendukung pelonggaran pada September, tetapi hal itu tidak berarti The Fed akan siap memangkas suku bunga secara agresif hingga akhir tahun, meski pasar mengharapkan demikian. "
Prediksi Harga Emas Dapat Tembus USD 3.450, Apa Faktor Pendorongnya?;https://www.liputan6.com/bisnis/read/6140903/prediksi-harga-emas-dapat-tembus-usd-3450-apa-faktor-pendorongnya;"Liputan6.com, Jakarta - Pengamat Mata Uang & Komoditas, Ibrahim Assuaibi, memproyeksikan harga emas dunia kembali mengalami penguatan pada pekan depan. Logam mulia ini berpotensi menembus level tertinggi di kisaran USD 3.400 per ons pada awal pekan. Bahkan secara mingguan, ia menilai harga emas berpeluang menuju USD 3.450 per ons. Baca Juga ""Harga emas dunia dalam minggu depan kemungkinan besar akan kembali mengalami penguatan pada Senin. Kemungkinan akan menyentuh di level tertingginya, di level USD 3.400-an. Kemudian kalau saya melihat secara mingguan, kemungkinan besar akan menuju di level USD3.450,” kata Ibrahim dalam keterangannya, Minggu (24/8/2025). Advertisement Salah satu faktor pendorong utama datang dari kebijakan moneter Amerika Serikat. Bank Sentral Amerika Serikat atau the Federal Reserve (The Fed) memberi sinyal kemungkinan penurunan suku bunga meski inflasi masih menjadi ancaman. Langkah ini menjadi angin segar bagi investor yang kembali memburu emas sebagai aset lindung nilai. ""Apa indikator yang mempengaruhi harga emas dunia mengalami penguatan. Salah satunya adalah tentang komentar dari Bank Sentral Amerika Serikat yang kemungkinan besar ada indikasi Bank Sentral Amerika Serikat akan menurunkan suku bunga walaupun melihat kondisi yang sedang terjadi saat ini,” ujarnya.  "
Update Harga Emas Perhiasan Hari Ini 24 Agustus 2025;https://www.liputan6.com/bisnis/read/6140818/update-harga-emas-perhiasan-hari-ini-24-agustus-2025;"Liputan6.com, Jakarta - Ketua the Federal Reserve (the Fed) Jerome Powell telah membuka peluang untuk memangkas suku bunga acuan pada September 2025. Namun, posisi itu dapat menjadi rumit jika tekanan inflasi terus meningkat. Mengutip Kitco, ditulis Minggu, (24/8/2025), harga emas meski dapat bergerak positif, analis mencatat setiap kebijakan moneter the Federal Reserve dapat membatasi potensi kenaikan logam mulia. Pekan ini, harga emas ditutup naik 1% ke posisi USD 3.371,23 per ounce. Baca Juga Sebagian besar kenaikan emas terjadi pada Jumat pekan ini, setelah pidato Powell yang sangat dinantikan di simposium bank sentral tahunan the Federal Reserve. Powell menyoroti meningkatnya risiko ekonomi dari kenaikan inflasi dan perlambatan aktivitas, tetapi mencatat masih ada ruang untuk menurunkan suku bunga. Advertisement ""Dengan kebijakan yang berada di wilayah restriktif, prospek dasar dan keseimbangan risiko yang bergeser mungkin memerlukan penyesuaian sikap kebijakan kami,” ujarnya. Para ekonom mencatat komentar ketua the Fed Powell jelas mendukung pelonggaran moneter pada September, tetapi itu tidak berarti bank sentral akan siap untuk memangkas suku bunga secara agresif hingga akhir tahun, terlepas dari ekspektasi pasar. Menurut CME FedWatch Tool, pasar memperkirakan potensi dua kali pemangkasan suku bunga lagi sebelum akhir tahun. "
Pertama di Indonesia, Sekolah Rakyat Hadirkan AI Talent DNA ESQ;https://www.liputan6.com/bisnis/read/6141126/pertama-di-indonesia-sekolah-rakyat-hadirkan-ai-talent-dna-esq;"Liputan6.com, Jakarta Untuk pertama kalinya di Indonesia seluruh unit Sekolah Rakyat, menggunakan AI Talent DNA ESQ, sebuah terobosan yang memadukan teknologi kecerdasan buatan dengan pendidikan karakter. Inovasi ini hadir sebagai jawaban atas tantangan zaman, di mana setiap anak memiliki potensi unik yang perlu dikenali sejak dini. Melalui AI Talent DNA ESQ, setiap peserta didik dapat dipetakan bakat, minat, serta kepribadiannya secara lebih akurat, sehingga proses belajar tidak lagi bersifat seragam, melainkan sesuai dengan jati diri masing-masing. Baca Juga Kehadiran teknologi ini bukan hanya menandai langkah maju bagi Sekolah Rakyat, tetapi juga membuka babak baru bagi dunia pendidikan Indonesia untuk mencetak generasi yang cerdas, berkarakter, dan siap menghadapi masa depan. Advertisement Presiden Prabowo Subianto berpesan kepada kepala sekolah dan guru Sekolah Rakyat untuk dapat mendidik murid-murid dari Sekolah Rakyat dengan baik. Langkah para murid tersebut ke depan diharapkan dapat mengangkat harkat dan martabat dirinya, orang tua, dan keluarganya keluar dari jurang kemiskinan. ""Anda memiliki tugas yang sangat mulia. Anda sedang menyiapkan tunas-tunas bangsa. Anda sedang dalam rangka upaya kita bersama memutus rantai kemiskinan. Saya titip mereka kepada para guru Sekolah Rakyat, Anda sudah diseleksi melalui program yang ketat,"" ungkap Presiden Prabowo dikutip Senin (25/8/2025). Dengan pembinaan dan pendidikan yang baik dari para guru, akan memberikan harapan dan kegembiraan bagi murid Sekolah Rakyat. Upaya ini merupakan kerja bersama dalam membangun untuk mewujudkan kesejahteraan bagi Indonesia. "
Ratusan Ribu Buruh Bakal Demo, Ini Sederet Tuntutannya;https://www.liputan6.com/bisnis/read/6141264/ratusan-ribu-buruh-bakal-demo-ini-sederet-tuntutannya;Liputan6.com, Jakarta Buruh yang tergabung dalam Konfederasi Serikat Pekerja Indonesia (KSPI) bakal menggelar aksi demonstrasi serempak di 38 provinsi dan lebih dari 300 kabupaten/kota. Rencananya, demo buruh tersebut yang berlangsung pada 28 Agustus 2025 akan diikuti puluhan ribu bahkan ratusan ribu buruh. Baca Juga Aksi ratusan ribu buruh ini serempak di seluruh Indonesia dinamakan aksi damai penyampaian aspirasi untuk menyuarakan kenaikan upah minimum 2026 sebesar 8,5% sampai dengan 10,5%. Advertisement “Sesuai peraturan Menteri Tenaga Kerja, kenaikan upah minimum mulai dibahas secara intensif baik di Dewan Pengupahan Nasional maupun di Dewan Pengupahan Daerah pada bulan September hingga Oktober dan ditetapkan oleh Gubernur pada bulan November,” ujar Said Iqbal dalam keterangan tertulis di Jakarta, Senin (11/8/2025). Selain menyampaikan isu kenaikan upah minimum 2026, pada aksi itu buruh juga akan menyampaikan aspirasi 6 tuntutan, yaitu: 1. Hapus Outsourcing dan Tolak Upah Murah (HOSTUM) 2. Stop PHK: Bentuk Satgas PHK 3. Reformasi Pajak Perburuhan: Naikan PTKP (Penghasilan Tidak Kena Pajak) Rp. 7.500.000,- (tujuh juta lima ratus ribu rupiah) per bulan, Hapus pajak pesangon, Hapus pajak THR, Hapus pajak JHT, Hapus diskriminasi pajak perempuan menikah. 4. Sahkan Rancangan Undang-undang (RUU) Ketenagakerjaan tanpa Omnibuslaw. 5. Sahkan RUU Perampasan Aset: Berantas Korupsi. 6. Revisi RUU Pemilu: Redesign Sistem Pemilu 2029
