content;question;answer
"Liputan6.com, Jakarta - Wakil Menteri Badan Usaha Milik Negara (BUMN) Kartika Wirjoatmodjo mengungkap rencana peluncuran kereta khusus petani dan pedagang. Rencananya operasional berjalan pagi-pagi sekali. Dia menuturkan, layanan ini dluncurkan imbas layanan kereta lokal yang dikelola PT Kereta Commuter Indonesia (KAI Commuter) cukup padat oleh penumpang reguler. Baca Juga ""Ya nanti, KCI memang rencana itu, schedule KCI penuh ya dan memang untuk itu pagi-pagi ada batch yang pagi sekali sebelum subuh, itu yang untuk mengangkut hasil pertanian-perdagangan,"" kata Tiko, sapaan akrabnya, ditemui di Antara Heritage Center, Jakarta, Senin (25/8/2025). Advertisement Kendati begitu, dia tidak merinci lebih lanjut mengenai hal tersebut. Hanya saja, Tiko memastikan PT Kereta Api Indonesia (Persero) akan segera meluncurkan layanan kereta khusus petani dan pedagang. ""Itu lagi kita.Segera kita launching untuk itu supaya menampung masyarakat yang membawa hasil dagangan dari daerah,"" tegasnya. Kereta ini jadi pengembangan yang dilakukan KAI. Saat ini kereta khusus petani dan pedagang masih melalui tahapan uji coba internal sejak 15 Agustus 2025 lalu. Adapun, proses modifikasi kereta dilakukan di UPT Balai Yasa Surabaya Gubeng. ";Siapakah yang mengungkap rencana peluncuran kereta khusus petani dan pedagang?;Wakil Menteri Badan Usaha Milik Negara (BUMN), Kartika Wirjoatmodjo, yang lebih dikenal dengan nama Tiko.
"Liputan6.com, Jakarta - Wakil Menteri Badan Usaha Milik Negara (BUMN) Kartika Wirjoatmodjo mengungkap rencana peluncuran kereta khusus petani dan pedagang. Rencananya operasional berjalan pagi-pagi sekali. Dia menuturkan, layanan ini dluncurkan imbas layanan kereta lokal yang dikelola PT Kereta Commuter Indonesia (KAI Commuter) cukup padat oleh penumpang reguler. Baca Juga ""Ya nanti, KCI memang rencana itu, schedule KCI penuh ya dan memang untuk itu pagi-pagi ada batch yang pagi sekali sebelum subuh, itu yang untuk mengangkut hasil pertanian-perdagangan,"" kata Tiko, sapaan akrabnya, ditemui di Antara Heritage Center, Jakarta, Senin (25/8/2025). Advertisement Kendati begitu, dia tidak merinci lebih lanjut mengenai hal tersebut. Hanya saja, Tiko memastikan PT Kereta Api Indonesia (Persero) akan segera meluncurkan layanan kereta khusus petani dan pedagang. ""Itu lagi kita.Segera kita launching untuk itu supaya menampung masyarakat yang membawa hasil dagangan dari daerah,"" tegasnya. Kereta ini jadi pengembangan yang dilakukan KAI. Saat ini kereta khusus petani dan pedagang masih melalui tahapan uji coba internal sejak 15 Agustus 2025 lalu. Adapun, proses modifikasi kereta dilakukan di UPT Balai Yasa Surabaya Gubeng. ";Kapan kereta khusus petani dan pedagang mulai melalui tahapan uji coba internal?;Kereta tersebut mulai melalui tahapan uji coba internal sejak 15 Agustus 2025.
Liputan6.com, Jakarta - Pemerintah Provinsi (Pemprov) DKI Jakarta kembali memberikan insentif bagi masyarakat yang taat membayar Pajak Bumi dan Bangunan Perdesaan dan Perkotaan (PBB-P2). Warga yang melunasi kewajiban pajaknya pada periode 1 Agustus hingga 30 September 2025 akan mendapatkan potongan sebesar 5% dari pokok pajak. âKami mengimbau masyarakat memanfaatkan insentif ini. Selain hemat, warga juga terhindar dari denda keterlambatan,â ujar Kepala Badan Pendapatan Daerah (Bapenda) DKI Jakarta, Lusiana Herawati dalam keterangannya, Senin (25/8/2025). Baca Juga Kini, pembayaran PBB-P2 semakin mudah dilakukan melalui berbagai kanal. Warga bisa membayar lewat bank dan layanan keuangan seperti teller, ATM, EDC, PPOB, e-banking, maupun m-banking. Selain itu, tersedia juga berbagai platform digital seperti Tokopedia, Shopee, Traveloka, Bukalapak, Blibli, OVO, LinkAja, DANA, Sepulsa, dan Gotagihan. Advertisement Wajib Pajak hanya perlu memasukkan Nomor Objek Pajak (NOP), dan tagihan akan muncul secara otomatis untuk kemudian bisa langsung dibayarkan. Informasi lengkap dapat diakses melalui situs resmi Pajak Online Jakarta. ;Kapan periode pembayaran PBB-P2 untuk mendapatkan insentif potongan pajak?;Periode pembayaran adalah antara 1 Agustus hingga 30 September 2025 untuk mendapatkan potongan 5%.
Liputan6.com, Jakarta - Pemerintah Provinsi (Pemprov) DKI Jakarta kembali memberikan insentif bagi masyarakat yang taat membayar Pajak Bumi dan Bangunan Perdesaan dan Perkotaan (PBB-P2). Warga yang melunasi kewajiban pajaknya pada periode 1 Agustus hingga 30 September 2025 akan mendapatkan potongan sebesar 5% dari pokok pajak. âKami mengimbau masyarakat memanfaatkan insentif ini. Selain hemat, warga juga terhindar dari denda keterlambatan,â ujar Kepala Badan Pendapatan Daerah (Bapenda) DKI Jakarta, Lusiana Herawati dalam keterangannya, Senin (25/8/2025). Baca Juga Kini, pembayaran PBB-P2 semakin mudah dilakukan melalui berbagai kanal. Warga bisa membayar lewat bank dan layanan keuangan seperti teller, ATM, EDC, PPOB, e-banking, maupun m-banking. Selain itu, tersedia juga berbagai platform digital seperti Tokopedia, Shopee, Traveloka, Bukalapak, Blibli, OVO, LinkAja, DANA, Sepulsa, dan Gotagihan. Advertisement Wajib Pajak hanya perlu memasukkan Nomor Objek Pajak (NOP), dan tagihan akan muncul secara otomatis untuk kemudian bisa langsung dibayarkan. Informasi lengkap dapat diakses melalui situs resmi Pajak Online Jakarta. ;Bagaimana cara masyarakat membayar PBB-P2 selain melalui bank?;Masyarakat bisa membayar melalui berbagai platform digital seperti Tokopedia, Shopee, dan lainnya.
Liputan6.com, Jakarta Bank bjb bersama bjb syariah menegaskan kembali komitmennya dalam mendukung kepemilikan rumah layak bagi masyarakat dengan menggelar acara Akad Massal dan Serah Terima Kunci bagi 1.080 debitur KPR Sejahtera FLPP. IniÂ merupakan bentuk nyata kontribusi perbankan dalam memperkuat program pemerintah 3 Juta Rumah yang bertujuan memperluas akses hunian terjangkau di seluruh Indonesia. Baca Juga Momentum ini menjadi simbol kuat sinergi antara pemerintah, lembaga keuangan, dan sektor swasta dalam mewujudkan impian banyak keluarga untuk memiliki tempat tinggal yang aman dan nyaman. Rumah bukan sekadar bangunan, tetapi hak dasar setiap warga negara yang harus bisa diakses oleh seluruh lapisan masyarakat. Advertisement Acara berlangsung dengan penuh semangat kebersamaan, turut dihadiri oleh Menteri Perumahan dan Kawasan Permukiman Maruarar Sirait, Sekretaris Daerah Jawa Barat Herman Suryatman, serta perwakilan Otoritas Jasa Keuangan Regional 2, BP Tapera, dan para kepala daerah dari Sumedang, Majalengka, hingga Subang. Direktur Utama bank bjb terpilih, Yusuf Saadudin, menegaskan bahwa sektor perumahan merupakan salah satu penggerak utama pertumbuhan ekonomi nasional. Ia menyampaikan bahwa melalui KPR Sejahtera FLPP, bank bjb ingin memberi kesempatan masyarakat berpenghasilan rendah untuk memiliki rumah yang layak sekaligus menjadi pondasi pembangunan keluarga di masa depan. Bank bjb dan bjb syariah tidak hanya hadir sebagai penyedia pembiayaan, melainkan juga sebagai mitra strategis pemerintah dalam memperkuat pondasi sosial dan ekonomi masyarakat. âPenyerahan kunci rumah ini bukan sekadar seremoni, tetapi simbol harapan dan komitmen bersama untuk menghadirkan hunian yang terjangkau bagi masyarakat Indonesia,â ucap Yusuf Saadudin . ;Berapa jumlah debitur KPR Sejahtera FLPP yang menerima akad massal dan serah terima kunci?;Sebanyak 1.080 debitur KPR Sejahtera FLPP menerima akad massal dan serah terima kunci.
Liputan6.com, Jakarta Bank bjb bersama bjb syariah menegaskan kembali komitmennya dalam mendukung kepemilikan rumah layak bagi masyarakat dengan menggelar acara Akad Massal dan Serah Terima Kunci bagi 1.080 debitur KPR Sejahtera FLPP. IniÂ merupakan bentuk nyata kontribusi perbankan dalam memperkuat program pemerintah 3 Juta Rumah yang bertujuan memperluas akses hunian terjangkau di seluruh Indonesia. Baca Juga Momentum ini menjadi simbol kuat sinergi antara pemerintah, lembaga keuangan, dan sektor swasta dalam mewujudkan impian banyak keluarga untuk memiliki tempat tinggal yang aman dan nyaman. Rumah bukan sekadar bangunan, tetapi hak dasar setiap warga negara yang harus bisa diakses oleh seluruh lapisan masyarakat. Advertisement Acara berlangsung dengan penuh semangat kebersamaan, turut dihadiri oleh Menteri Perumahan dan Kawasan Permukiman Maruarar Sirait, Sekretaris Daerah Jawa Barat Herman Suryatman, serta perwakilan Otoritas Jasa Keuangan Regional 2, BP Tapera, dan para kepala daerah dari Sumedang, Majalengka, hingga Subang. Direktur Utama bank bjb terpilih, Yusuf Saadudin, menegaskan bahwa sektor perumahan merupakan salah satu penggerak utama pertumbuhan ekonomi nasional. Ia menyampaikan bahwa melalui KPR Sejahtera FLPP, bank bjb ingin memberi kesempatan masyarakat berpenghasilan rendah untuk memiliki rumah yang layak sekaligus menjadi pondasi pembangunan keluarga di masa depan. Bank bjb dan bjb syariah tidak hanya hadir sebagai penyedia pembiayaan, melainkan juga sebagai mitra strategis pemerintah dalam memperkuat pondasi sosial dan ekonomi masyarakat. âPenyerahan kunci rumah ini bukan sekadar seremoni, tetapi simbol harapan dan komitmen bersama untuk menghadirkan hunian yang terjangkau bagi masyarakat Indonesia,â ucap Yusuf Saadudin . ;Apa yang ditegaskan oleh Direktur Utama bank bjb terkait sektor perumahan?;Sektor perumahan merupakan salah satu penggerak utama pertumbuhan ekonomi nasional.
Liputan6.com, Jakarta Harga emas batangan PT Aneka Tambang Tbk (Antam) turun pada hari ini Senin 25 Agustus 2025. Berdasarkan data dari laman resmi Logam Mulia,Â SeninÂ (25/8/2025), hargaÂ emas Antam hari iniÂ lebih mahal Rp 4.000 menjadi Rp 1.929.000 per gram dari sebelumnya Rp 1.933.000 ger gram. Baca Juga Pada perdagangan Jumat, harga emasÂ Antam naik Rp 2.000. SementaraÂ harga emasÂ untuk jual kembali (buyback) juga turun Rp 4.000 menjadi Rp 1.775.000 per gram. HargaÂ buybackÂ ini adalah jika Anda ingin menjual emas maka Antam akan membelinya di harga Rp 1.775.000 per gram. Advertisement Sesuai Peraturan Menteri Keuangan (PMK) Nomor 34/PMK.10/2017, transaksiÂ buybackÂ akan dikenakan potongan pajak. Untuk penjualan kembali emas batangan dengan nominal di atas Rp 10 juta, berlaku Pajak Penghasilan (PPh) Pasal 22 sebesar: 1,5% bagi pemegang Nomor Pokok Wajib Pajak (NPWP)3% bagi non-NPWPPPh 22 atas transaksi buyback akan dipotong langsung dari total nilai penjualan. Cek daftar harga emas AntamÂ hari ini Senin (25/8/2025):;Berapa harga emas Antam per gram pada hari Senin 25 Agustus 2025?;Harga emas Antam hari ini Rp 1.929.000 per gram, turun Rp 4.000 dari hari sebelumnya.
Liputan6.com, Jakarta Harga emas batangan PT Aneka Tambang Tbk (Antam) turun pada hari ini Senin 25 Agustus 2025. Berdasarkan data dari laman resmi Logam Mulia,Â SeninÂ (25/8/2025), hargaÂ emas Antam hari iniÂ lebih mahal Rp 4.000 menjadi Rp 1.929.000 per gram dari sebelumnya Rp 1.933.000 ger gram. Baca Juga Pada perdagangan Jumat, harga emasÂ Antam naik Rp 2.000. SementaraÂ harga emasÂ untuk jual kembali (buyback) juga turun Rp 4.000 menjadi Rp 1.775.000 per gram. HargaÂ buybackÂ ini adalah jika Anda ingin menjual emas maka Antam akan membelinya di harga Rp 1.775.000 per gram. Advertisement Sesuai Peraturan Menteri Keuangan (PMK) Nomor 34/PMK.10/2017, transaksiÂ buybackÂ akan dikenakan potongan pajak. Untuk penjualan kembali emas batangan dengan nominal di atas Rp 10 juta, berlaku Pajak Penghasilan (PPh) Pasal 22 sebesar: 1,5% bagi pemegang Nomor Pokok Wajib Pajak (NPWP)3% bagi non-NPWPPPh 22 atas transaksi buyback akan dipotong langsung dari total nilai penjualan. Cek daftar harga emas AntamÂ hari ini Senin (25/8/2025):;Pajak apa yang dikenakan pada transaksi jual kembali (buyback) emas Antam?;Transaksi buyback dikenakan Pajak Penghasilan (PPh) Pasal 22, yaitu 1,5% (NPWP) atau 3% (non-NPWP).
Liputan6.com, Jakarta Harga emas Pegadaian hari ini, Senin 25 Agustus 2025Â untuk tiga produk logam mulia yang ditawarkan yakniÂ harga emas UBS,Â harga emas Galeri24, dan harga emas Antam terpantau stabil. Harga emas Galeri24 stabil di angka Rp1.918.000 per gram. Begitu pula harga emas Antam yang turut stabil di Rp2.001.000 per gram. Baca Juga Sementara,Â Sedangkan harga emas UBS tetap dibanderol dengan harga Rp1.935.000 per gram. Advertisement ââEmas Galeri24 dijual dengan kuantitas 0,5 gram hingga 1.000 gram atau 1 kilogram. Sementara emas UBS dijual dengan kuantitas 0,5 gram hingga 500 gram. Berikut daftar lengkap harga emas Pegadaian hari ini: ;Berapa harga emas Galeri24 per gram menurut berita tersebut?;Harga emas Galeri24 stabil di Rp1.918.000 per gram.
Liputan6.com, Jakarta Harga emas Pegadaian hari ini, Senin 25 Agustus 2025Â untuk tiga produk logam mulia yang ditawarkan yakniÂ harga emas UBS,Â harga emas Galeri24, dan harga emas Antam terpantau stabil. Harga emas Galeri24 stabil di angka Rp1.918.000 per gram. Begitu pula harga emas Antam yang turut stabil di Rp2.001.000 per gram. Baca Juga Sementara,Â Sedangkan harga emas UBS tetap dibanderol dengan harga Rp1.935.000 per gram. Advertisement ââEmas Galeri24 dijual dengan kuantitas 0,5 gram hingga 1.000 gram atau 1 kilogram. Sementara emas UBS dijual dengan kuantitas 0,5 gram hingga 500 gram. Berikut daftar lengkap harga emas Pegadaian hari ini: ;Emas UBS dijual dengan kuantitas hingga berapa gram?;Emas UBS dijual dengan kuantitas hingga 500 gram.
